governor,state,year,party
William Lowe Waller,Mississippi,1972,Democrat
Warren E. Hearnes,Missouri,1972,Democrat
Forrest H. Anderson,Montana,1972,Democrat
John James Exon,Nebraska,1972,Democrat
Mike O'Callaghan,Nevada,1972,Democrat
Walter Peterson,New Hampshire,1972,Republican
William T. Cahill,New Jersey,1972,Republican
Bruce King,New Mexico,1972,Democrat
Nelson Aldrich Rockefeller,New York,1972,Republican
Robert Walter Scott,North Carolina,1972,Democrat
William Lewis Guy,North Dakota,1972,Democrat
John Joyce Gilligan,Ohio,1972,Democrat
David Hall,Oklahoma,1972,Democrat
Thomas Lawson McCall,Oregon,1972,Republican
Milton Jerrold Shapp,Pennsylvania,1972,Democrat
Luis A. Ferre,Puerto Rico,1972,New Progressive Party (Puerto Rico)
Frank Licht,Rhode Island,1972,Democrat
John Carl West,South Carolina,1972,Democrat
Richard Francis Kneip,South Dakota,1972,Democrat
Bryant Winfield Culberson Dunn,Tennessee,1972,Republican
Preston Smith,Texas,1972,Democrat
Calvin Lewellyn Rampton,Utah,1972,Democrat
Deane C. Davis,Vermont,1972,Republican
Melvin Herbert Evans,Virgin Islands,1972,Republican
Linwood Holton,Virginia,1972,Republican
Daniel Jackson Evans,Washington,1972,Republican
Arch A. Moore,West Virginia,1972,Republican
Patrick Joseph Lucey,Wisconsin,1972,Democrat
Stanley K. Hathaway,Wyoming,1972,Republican
George Corley Wallace,Alabama,1971,Democrat
William Allen Egan,Alaska,1971,Democrat
"John ""Jack"" R. Williams",Arizona,1971,Republican
Dale Bumpers,Arkansas,1971,Democrat
Ronald Wilson Reagan,California,1971,Republican
John Arthur Love,Colorado,1971,Republican
Thomas J. Meskill,Connecticut,1971,Republican
Russell W. Peterson,Delaware,1971,Republican
Reubin O'Donovan Askew,Florida,1971,Democrat
Jimmy Earl Carter,Georgia,1971,Democrat
Carlos G. Camacho,Guam,1971,Republican
John Anthony Burns,Hawaii,1971,Democrat
Cecil Dale Andrus,Idaho,1971,Democrat
Richard Buell Ogilvie,Illinois,1971,Republican
Edgar Doud Whitcomb,Indiana,1971,Republican
Robert D. Ray,Iowa,1971,Republican
Robert Blackwell Docking,Kansas,1971,Democrat
Wendell Hampton Ford,Kentucky,1971,Democrat
John Julian McKeithen,Louisiana,1971,Democrat
Kenneth Merwin Curtis,Maine,1971,Democrat
Marvin Mandel,Maryland,1971,Democrat
Francis Williams Sargent,Massachusetts,1971,Republican
William Grawn Milliken,Michigan,1971,Republican
Wendell Richard Anderson,Minnesota,1971,Democrat
John Bell Williams,Mississippi,1971,Democrat
Warren E. Hearnes,Missouri,1971,Democrat
Forrest H. Anderson,Montana,1971,Democrat
John James Exon,Nebraska,1971,Democrat
Mike O'Callaghan,Nevada,1971,Democrat
Walter Peterson,New Hampshire,1971,Republican
William T. Cahill,New Jersey,1971,Republican
Bruce King,New Mexico,1971,Democrat
Nelson Aldrich Rockefeller,New York,1971,Republican
Robert Walter Scott,North Carolina,1971,Democrat
William Lewis Guy,North Dakota,1971,Democrat
John Joyce Gilligan,Ohio,1971,Democrat
David Hall,Oklahoma,1971,Democrat
Thomas Lawson McCall,Oregon,1971,Republican
Milton Jerrold Shapp,Pennsylvania,1971,Democrat
Luis A. Ferre,Puerto Rico,1971,New Progressive Party (Puerto Rico)
Frank Licht,Rhode Island,1971,Democrat
John Carl West,South Carolina,1971,Democrat
Richard Francis Kneip,South Dakota,1971,Democrat
Bryant Winfield Culberson Dunn,Tennessee,1971,Republican
Preston Smith,Texas,1971,Democrat
Calvin Lewellyn Rampton,Utah,1971,Democrat
Deane C. Davis,Vermont,1971,Republican
Melvin Herbert Evans,Virgin Islands,1971,Republican
Linwood Holton,Virginia,1971,Republican
Daniel Jackson Evans,Washington,1971,Republican
Arch A. Moore,West Virginia,1971,Republican
Patrick Joseph Lucey,Wisconsin,1971,Democrat
Stanley K. Hathaway,Wyoming,1971,Republican
Albert Preston Brewer,Alabama,1970,Democrat
William Allen Egan,Alaska,1970,Democrat
"John ""Jack"" R. Williams",Arizona,1970,Republican
Winthrop Rockefeller,Arkansas,1970,Republican
Ronald Wilson Reagan,California,1970,Republican
John Arthur Love,Colorado,1970,Republican
John Dempsey,Connecticut,1970,Democrat
Russell W. Peterson,Delaware,1970,Republican
Claude Roy Kirk,Florida,1970,Republican
Lester Garfield Maddox,Georgia,1970,Democrat
Carlos G. Camacho,Guam,1970,Republican
John Anthony Burns,Hawaii,1970,Democrat
Don William Samuelson,Idaho,1970,Republican
Richard Buell Ogilvie,Illinois,1970,Republican
Edgar Doud Whitcomb,Indiana,1970,Republican
Robert D. Ray,Iowa,1970,Republican
Robert Blackwell Docking,Kansas,1970,Democrat
Louie Broady Nunn,Kentucky,1970,Republican
John Julian McKeithen,Louisiana,1970,Democrat
Kenneth Merwin Curtis,Maine,1970,Democrat
Marvin Mandel,Maryland,1970,Democrat
Francis Williams Sargent,Massachusetts,1970,Republican
William Grawn Milliken,Michigan,1970,Republican
Harold LeVander,Minnesota,1970,Republican
John Bell Williams,Mississippi,1970,Democrat
Warren E. Hearnes,Missouri,1970,Democrat
Forrest H. Anderson,Montana,1970,Democrat
Norbert T. Tiemann,Nebraska,1970,Republican
Paul Dominque Laxalt,Nevada,1970,Republican
Walter Peterson,New Hampshire,1970,Republican
William T. Cahill,New Jersey,1970,Republican
David Francis Cargo,New Mexico,1970,Republican
Nelson Aldrich Rockefeller,New York,1970,Republican
Robert Walter Scott,North Carolina,1970,Democrat
William Lewis Guy,North Dakota,1970,Democrat
James Allen Rhodes,Ohio,1970,Republican
Dewey Follett Bartlett,Oklahoma,1970,Republican
Thomas Lawson McCall,Oregon,1970,Republican
Raymond Philip Shafer,Pennsylvania,1970,Republican
Luis A. Ferre,Puerto Rico,1970,New Progressive Party (Puerto Rico)
Frank Licht,Rhode Island,1970,Democrat
Robert Evander McNair,South Carolina,1970,Democrat
Frank Leroy Farrar,South Dakota,1970,Republican
Earl Buford Ellington,Tennessee,1970,Democrat
Preston Smith,Texas,1970,Democrat
Calvin Lewellyn Rampton,Utah,1970,Democrat
Deane C. Davis,Vermont,1970,Republican
Linwood Holton,Virginia,1970,Republican
Daniel Jackson Evans,Washington,1970,Republican
Arch A. Moore,West Virginia,1970,Republican
Warren P. Knowles,Wisconsin,1970,Republican
Stanley K. Hathaway,Wyoming,1970,Republican
Albert Preston Brewer,Alabama,1969,Democrat
Keith H. Miller,Alaska,1969,Republican
"John ""Jack"" R. Williams",Arizona,1969,Republican
Winthrop Rockefeller,Arkansas,1969,Republican
Ronald Wilson Reagan,California,1969,Republican
John Arthur Love,Colorado,1969,Republican
John Dempsey,Connecticut,1969,Democrat
Russell W. Peterson,Delaware,1969,Republican
Claude Roy Kirk,Florida,1969,Republican
Lester Garfield Maddox,Georgia,1969,Democrat
Carlos G. Camacho,Guam,1969,Republican
John Anthony Burns,Hawaii,1969,Democrat
Don William Samuelson,Idaho,1969,Republican
Richard Buell Ogilvie,Illinois,1969,Republican
Edgar Doud Whitcomb,Indiana,1969,Republican
Robert D. Ray,Iowa,1969,Republican
Robert Blackwell Docking,Kansas,1969,Democrat
Louie Broady Nunn,Kentucky,1969,Republican
John Julian McKeithen,Louisiana,1969,Democrat
Kenneth Merwin Curtis,Maine,1969,Democrat
Marvin Mandel,Maryland,1969,Democrat
Francis Williams Sargent,Massachusetts,1969,Republican
William Grawn Milliken,Michigan,1969,Republican
Harold LeVander,Minnesota,1969,Republican
John Bell Williams,Mississippi,1969,Democrat
Warren E. Hearnes,Missouri,1969,Democrat
Forrest H. Anderson,Montana,1969,Democrat
Norbert T. Tiemann,Nebraska,1969,Republican
Paul Dominque Laxalt,Nevada,1969,Republican
Walter Peterson,New Hampshire,1969,Republican
Richard Joseph Hughes,New Jersey,1969,Democrat
David Francis Cargo,New Mexico,1969,Republican
Nelson Aldrich Rockefeller,New York,1969,Republican
Robert Walter Scott,North Carolina,1969,Democrat
William Lewis Guy,North Dakota,1969,Democrat
James Allen Rhodes,Ohio,1969,Republican
Dewey Follett Bartlett,Oklahoma,1969,Republican
Thomas Lawson McCall,Oregon,1969,Republican
Raymond Philip Shafer,Pennsylvania,1969,Republican
Luis A. Ferre,Puerto Rico,1969,New Progressive Party (Puerto Rico)
Frank Licht,Rhode Island,1969,Democrat
Robert Evander McNair,South Carolina,1969,Democrat
Frank Leroy Farrar,South Dakota,1969,Republican
Earl Buford Ellington,Tennessee,1969,Democrat
Preston Smith,Texas,1969,Democrat
Calvin Lewellyn Rampton,Utah,1969,Democrat
Deane C. Davis,Vermont,1969,Republican
Cyril Emmanuel King,Virgin Islands,1969,Independent
Mills Edwin Godwin,Virginia,1969,Democrat
Daniel Jackson Evans,Washington,1969,Republican
Arch A. Moore,West Virginia,1969,Republican
Warren P. Knowles,Wisconsin,1969,Republican
Stanley K. Hathaway,Wyoming,1969,Republican
Albert Preston Brewer,Alabama,1968,Democrat
Walter J. Hickel,Alaska,1968,Independent
"John ""Jack"" R. Williams",Arizona,1968,Republican
Winthrop Rockefeller,Arkansas,1968,Republican
Ronald Wilson Reagan,California,1968,Republican
John Arthur Love,Colorado,1968,Republican
John Dempsey,Connecticut,1968,Democrat
Charles L. Terry,Delaware,1968,Democrat
Claude Roy Kirk,Florida,1968,Republican
Lester Garfield Maddox,Georgia,1968,Democrat
Manuel Flores Guerrero,Guam,1968,Democrat
John Anthony Burns,Hawaii,1968,Democrat
Don William Samuelson,Idaho,1968,Republican
Samuel H. Shapiro,Illinois,1968,Democrat
Roger Douglas Branigin,Indiana,1968,Democrat
Harold Everett Hughes,Iowa,1968,Democrat
Robert Blackwell Docking,Kansas,1968,Democrat
Louie Broady Nunn,Kentucky,1968,Republican
John Julian McKeithen,Louisiana,1968,Democrat
Kenneth Merwin Curtis,Maine,1968,Democrat
Spiro Theodore Agnew,Maryland,1968,Republican
John Anthony Volpe,Massachusetts,1968,Republican
George Wilcken Romney,Michigan,1968,Republican
Harold LeVander,Minnesota,1968,Republican
John Bell Williams,Mississippi,1968,Democrat
Warren E. Hearnes,Missouri,1968,Democrat
Tim M. Babcock,Montana,1968,Republican
Norbert T. Tiemann,Nebraska,1968,Republican
Paul Dominque Laxalt,Nevada,1968,Republican
John William King,New Hampshire,1968,Democrat
Richard Joseph Hughes,New Jersey,1968,Democrat
David Francis Cargo,New Mexico,1968,Republican
Nelson Aldrich Rockefeller,New York,1968,Republican
Dan Killian Moore,North Carolina,1968,Democrat
William Lewis Guy,North Dakota,1968,Democrat
James Allen Rhodes,Ohio,1968,Republican
Dewey Follett Bartlett,Oklahoma,1968,Republican
Thomas Lawson McCall,Oregon,1968,Republican
Raymond Philip Shafer,Pennsylvania,1968,Republican
Roberto Sanchez-Vilella,Puerto Rico,1968,Popular Democratic Party (Puerto Rico)
John Hubbard Chafee,Rhode Island,1968,Republican
Robert Evander McNair,South Carolina,1968,Democrat
Nils Andreas Boe,South Dakota,1968,Republican
Earl Buford Ellington,Tennessee,1968,Democrat
John Bowden Connally,Texas,1968,Democrat
Calvin Lewellyn Rampton,Utah,1968,Democrat
Philip Henderson Hoff,Vermont,1968,Democrat
Ralph M. Paiewonsky,Virgin Islands,1968,Democrat
Mills Edwin Godwin,Virginia,1968,Democrat
Daniel Jackson Evans,Washington,1968,Republican
Hulett Carlson Smith,West Virginia,1968,Democrat
Warren P. Knowles,Wisconsin,1968,Republican
Stanley K. Hathaway,Wyoming,1968,Republican
Lurleen Burns Wallace,Alabama,1967,Democrat
Walter J. Hickel,Alaska,1967,Independent
"John ""Jack"" R. Williams",Arizona,1967,Republican
Winthrop Rockefeller,Arkansas,1967,Republican
Ronald Wilson Reagan,California,1967,Republican
John Arthur Love,Colorado,1967,Republican
John Dempsey,Connecticut,1967,Democrat
Charles L. Terry,Delaware,1967,Democrat
Claude Roy Kirk,Florida,1967,Republican
Lester Garfield Maddox,Georgia,1967,Democrat
Manuel Flores Guerrero,Guam,1967,Democrat
John Anthony Burns,Hawaii,1967,Democrat
Don William Samuelson,Idaho,1967,Republican
Otto Kerner,Illinois,1967,Democrat
Roger Douglas Branigin,Indiana,1967,Democrat
Harold Everett Hughes,Iowa,1967,Democrat
Robert Blackwell Docking,Kansas,1967,Democrat
Louie Broady Nunn,Kentucky,1967,Republican
John Julian McKeithen,Louisiana,1967,Democrat
Kenneth Merwin Curtis,Maine,1967,Democrat
Spiro Theodore Agnew,Maryland,1967,Republican
John Anthony Volpe,Massachusetts,1967,Republican
George Wilcken Romney,Michigan,1967,Republican
Harold LeVander,Minnesota,1967,Republican
Paul B. Johnson Jr.,Mississippi,1967,Democrat
Warren E. Hearnes,Missouri,1967,Democrat
Tim M. Babcock,Montana,1967,Republican
Norbert T. Tiemann,Nebraska,1967,Republican
Paul Dominque Laxalt,Nevada,1967,Republican
John William King,New Hampshire,1967,Democrat
Richard Joseph Hughes,New Jersey,1967,Democrat
David Francis Cargo,New Mexico,1967,Republican
Nelson Aldrich Rockefeller,New York,1967,Republican
Dan Killian Moore,North Carolina,1967,Democrat
William Lewis Guy,North Dakota,1967,Democrat
James Allen Rhodes,Ohio,1967,Republican
Dewey Follett Bartlett,Oklahoma,1967,Republican
Thomas Lawson McCall,Oregon,1967,Republican
Raymond Philip Shafer,Pennsylvania,1967,Republican
Roberto Sanchez-Vilella,Puerto Rico,1967,Popular Democratic Party (Puerto Rico)
John Hubbard Chafee,Rhode Island,1967,Republican
Robert Evander McNair,South Carolina,1967,Democrat
Nils Andreas Boe,South Dakota,1967,Republican
Earl Buford Ellington,Tennessee,1967,Democrat
John Bowden Connally,Texas,1967,Democrat
Calvin Lewellyn Rampton,Utah,1967,Democrat
Philip Henderson Hoff,Vermont,1967,Democrat
Ralph M. Paiewonsky,Virgin Islands,1967,Democrat
Mills Edwin Godwin,Virginia,1967,Democrat
Daniel Jackson Evans,Washington,1967,Republican
Hulett Carlson Smith,West Virginia,1967,Democrat
Warren P. Knowles,Wisconsin,1967,Republican
Stanley K. Hathaway,Wyoming,1967,Republican
George Corley Wallace,Alabama,1966,Democrat
Walter J. Hickel,Alaska,1966,Independent
Samuel Pearson Goddard,Arizona,1966,Democrat
Orval Eugene Faubus,Arkansas,1966,Democrat
Edmund Gerald Brown,California,1966,Democrat
John Arthur Love,Colorado,1966,Republican
John Dempsey,Connecticut,1966,Democrat
Charles L. Terry,Delaware,1966,Democrat
Haydon Burns,Florida,1966,Democrat
Carl Edward Sanders,Georgia,1966,Democrat
Manuel Flores Guerrero,Guam,1966,Democrat
John Anthony Burns,Hawaii,1966,Democrat
Robert E. Smylie,Idaho,1966,Republican
Otto Kerner,Illinois,1966,Democrat
Roger Douglas Branigin,Indiana,1966,Democrat
Harold Everett Hughes,Iowa,1966,Democrat
William Henry Avery,Kansas,1966,Republican
Edward Thompson Breathitt,Kentucky,1966,Democrat
John Julian McKeithen,Louisiana,1966,Democrat
John Hathaway Reed,Maine,1966,Republican
J. Millard Tawes,Maryland,1966,Democrat
John Anthony Volpe,Massachusetts,1966,Republican
George Wilcken Romney,Michigan,1966,Republican
Karl Fritjof Rolvaag,Minnesota,1966,Democrat
Paul B. Johnson Jr.,Mississippi,1966,Democrat
Warren E. Hearnes,Missouri,1966,Democrat
Tim M. Babcock,Montana,1966,Republican
Frank Brenner Morrison,Nebraska,1966,Democrat
Grant Sawyer,Nevada,1966,Democrat
John William King,New Hampshire,1966,Democrat
Richard Joseph Hughes,New Jersey,1966,Democrat
Jack M. Campbell,New Mexico,1966,Democrat
Nelson Aldrich Rockefeller,New York,1966,Republican
Dan Killian Moore,North Carolina,1966,Democrat
William Lewis Guy,North Dakota,1966,Democrat
James Allen Rhodes,Ohio,1966,Republican
Henry Louis Bellmon,Oklahoma,1966,Republican
Mark Odom Hatfield,Oregon,1966,Republican
William W. Scranton,Pennsylvania,1966,Republican
Roberto Sanchez-Vilella,Puerto Rico,1966,Popular Democratic Party (Puerto Rico)
John Hubbard Chafee,Rhode Island,1966,Republican
Robert Evander McNair,South Carolina,1966,Democrat
Nils Andreas Boe,South Dakota,1966,Republican
Frank Goad Clement,Tennessee,1966,Democrat
John Bowden Connally,Texas,1966,Democrat
Calvin Lewellyn Rampton,Utah,1966,Democrat
Philip Henderson Hoff,Vermont,1966,Democrat
Ralph M. Paiewonsky,Virgin Islands,1966,Democrat
Mills Edwin Godwin,Virginia,1966,Democrat
Daniel Jackson Evans,Washington,1966,Republican
Hulett Carlson Smith,West Virginia,1966,Democrat
Warren P. Knowles,Wisconsin,1966,Republican
Clifford P. Hansen,Wyoming,1966,Republican
George Corley Wallace,Alabama,1965,Democrat
William Allen Egan,Alaska,1965,Democrat
Samuel Pearson Goddard,Arizona,1965,Democrat
Orval Eugene Faubus,Arkansas,1965,Democrat
Edmund Gerald Brown,California,1965,Democrat
John Arthur Love,Colorado,1965,Republican
John Dempsey,Connecticut,1965,Democrat
Charles L. Terry,Delaware,1965,Democrat
Haydon Burns,Florida,1965,Democrat
Carl Edward Sanders,Georgia,1965,Democrat
Manuel Flores Guerrero,Guam,1965,Democrat
John Anthony Burns,Hawaii,1965,Democrat
Robert E. Smylie,Idaho,1965,Republican
Otto Kerner,Illinois,1965,Democrat
Roger Douglas Branigin,Indiana,1965,Democrat
Harold Everett Hughes,Iowa,1965,Democrat
William Henry Avery,Kansas,1965,Republican
Edward Thompson Breathitt,Kentucky,1965,Democrat
John Julian McKeithen,Louisiana,1965,Democrat
John Hathaway Reed,Maine,1965,Republican
J. Millard Tawes,Maryland,1965,Democrat
John Anthony Volpe,Massachusetts,1965,Republican
George Wilcken Romney,Michigan,1965,Republican
Karl Fritjof Rolvaag,Minnesota,1965,Democrat
Paul B. Johnson Jr.,Mississippi,1965,Democrat
Warren E. Hearnes,Missouri,1965,Democrat
Tim M. Babcock,Montana,1965,Republican
Frank Brenner Morrison,Nebraska,1965,Democrat
Grant Sawyer,Nevada,1965,Democrat
John William King,New Hampshire,1965,Democrat
Richard Joseph Hughes,New Jersey,1965,Democrat
Jack M. Campbell,New Mexico,1965,Democrat
Nelson Aldrich Rockefeller,New York,1965,Republican
Dan Killian Moore,North Carolina,1965,Democrat
William Lewis Guy,North Dakota,1965,Democrat
James Allen Rhodes,Ohio,1965,Republican
Henry Louis Bellmon,Oklahoma,1965,Republican
Mark Odom Hatfield,Oregon,1965,Republican
William W. Scranton,Pennsylvania,1965,Republican
Roberto Sanchez-Vilella,Puerto Rico,1965,Popular Democratic Party (Puerto Rico)
John Hubbard Chafee,Rhode Island,1965,Republican
Robert Evander McNair,South Carolina,1965,Democrat
Nils Andreas Boe,South Dakota,1965,Republican
Frank Goad Clement,Tennessee,1965,Democrat
John Bowden Connally,Texas,1965,Democrat
Calvin Lewellyn Rampton,Utah,1965,Democrat
Philip Henderson Hoff,Vermont,1965,Democrat
Ralph M. Paiewonsky,Virgin Islands,1965,Democrat
Albertis S. Harrison,Virginia,1965,Democrat
Daniel Jackson Evans,Washington,1965,Republican
Hulett Carlson Smith,West Virginia,1965,Democrat
Warren P. Knowles,Wisconsin,1965,Republican
Clifford P. Hansen,Wyoming,1965,Republican
George Corley Wallace,Alabama,1964,Democrat
William Allen Egan,Alaska,1964,Democrat
Paul Jones Fannin,Arizona,1964,Republican
Orval Eugene Faubus,Arkansas,1964,Democrat
Edmund Gerald Brown,California,1964,Democrat
John Arthur Love,Colorado,1964,Republican
John Dempsey,Connecticut,1964,Democrat
Elbert Nortrand Carvel,Delaware,1964,Democrat
Cecil Farris Bryant,Florida,1964,Democrat
Carl Edward Sanders,Georgia,1964,Democrat
Manuel Flores Guerrero,Guam,1964,Democrat
John Anthony Burns,Hawaii,1964,Democrat
Robert E. Smylie,Idaho,1964,Republican
Otto Kerner,Illinois,1964,Democrat
Matthew Empson Welsh,Indiana,1964,Democrat
Harold Everett Hughes,Iowa,1964,Democrat
John Anderson,Kansas,1964,Republican
Edward Thompson Breathitt,Kentucky,1964,Democrat
John Julian McKeithen,Louisiana,1964,Democrat
John Hathaway Reed,Maine,1964,Republican
J. Millard Tawes,Maryland,1964,Democrat
Endicott Peabody,Massachusetts,1964,Democrat
George Wilcken Romney,Michigan,1964,Republican
Karl Fritjof Rolvaag,Minnesota,1964,Democrat
Paul B. Johnson Jr.,Mississippi,1964,Democrat
John Montgomery Dalton,Missouri,1964,Democrat
Tim M. Babcock,Montana,1964,Republican
Frank Brenner Morrison,Nebraska,1964,Democrat
Grant Sawyer,Nevada,1964,Democrat
John William King,New Hampshire,1964,Democrat
Richard Joseph Hughes,New Jersey,1964,Democrat
Jack M. Campbell,New Mexico,1964,Democrat
Nelson Aldrich Rockefeller,New York,1964,Republican
James Terry Sanford,North Carolina,1964,Democrat
William Lewis Guy,North Dakota,1964,Democrat
James Allen Rhodes,Ohio,1964,Republican
Henry Louis Bellmon,Oklahoma,1964,Republican
Mark Odom Hatfield,Oregon,1964,Republican
William W. Scranton,Pennsylvania,1964,Republican
John Hubbard Chafee,Rhode Island,1964,Republican
Donald Stuart Russell,South Carolina,1964,Democrat
Archie Gubbrud,South Dakota,1964,Republican
Frank Goad Clement,Tennessee,1964,Democrat
John Bowden Connally,Texas,1964,Democrat
George Dewey Clyde,Utah,1964,Republican
Philip Henderson Hoff,Vermont,1964,Democrat
Ralph M. Paiewonsky,Virgin Islands,1964,Democrat
Albertis S. Harrison,Virginia,1964,Democrat
Albert Dean Rosellini,Washington,1964,Democrat
William W. Barron,West Virginia,1964,Democrat
John W. Reynolds,Wisconsin,1964,Democrat
Clifford P. Hansen,Wyoming,1964,Republican
George Corley Wallace,Alabama,1963,Democrat
William Allen Egan,Alaska,1963,Democrat
Paul Jones Fannin,Arizona,1963,Republican
Orval Eugene Faubus,Arkansas,1963,Democrat
Edmund Gerald Brown,California,1963,Democrat
John Arthur Love,Colorado,1963,Republican
John Dempsey,Connecticut,1963,Democrat
Elbert Nortrand Carvel,Delaware,1963,Democrat
Cecil Farris Bryant,Florida,1963,Democrat
Carl Edward Sanders,Georgia,1963,Democrat
Manuel Flores Guerrero,Guam,1963,Democrat
John Anthony Burns,Hawaii,1963,Democrat
Robert E. Smylie,Idaho,1963,Republican
Otto Kerner,Illinois,1963,Democrat
Matthew Empson Welsh,Indiana,1963,Democrat
Harold Everett Hughes,Iowa,1963,Democrat
John Anderson,Kansas,1963,Republican
Edward Thompson Breathitt,Kentucky,1963,Democrat
James Houston Davis,Louisiana,1963,Democrat
John Hathaway Reed,Maine,1963,Republican
J. Millard Tawes,Maryland,1963,Democrat
Endicott Peabody,Massachusetts,1963,Democrat
George Wilcken Romney,Michigan,1963,Republican
Karl Fritjof Rolvaag,Minnesota,1963,Democrat
Ross Robert Barnett,Mississippi,1963,Democrat
John Montgomery Dalton,Missouri,1963,Democrat
Tim M. Babcock,Montana,1963,Republican
Frank Brenner Morrison,Nebraska,1963,Democrat
Grant Sawyer,Nevada,1963,Democrat
John William King,New Hampshire,1963,Democrat
Richard Joseph Hughes,New Jersey,1963,Democrat
Jack M. Campbell,New Mexico,1963,Democrat
Nelson Aldrich Rockefeller,New York,1963,Republican
James Terry Sanford,North Carolina,1963,Democrat
William Lewis Guy,North Dakota,1963,Democrat
James Allen Rhodes,Ohio,1963,Republican
Henry Louis Bellmon,Oklahoma,1963,Republican
Mark Odom Hatfield,Oregon,1963,Republican
William W. Scranton,Pennsylvania,1963,Republican
John Hubbard Chafee,Rhode Island,1963,Republican
Donald Stuart Russell,South Carolina,1963,Democrat
Archie Gubbrud,South Dakota,1963,Republican
Frank Goad Clement,Tennessee,1963,Democrat
John Bowden Connally,Texas,1963,Democrat
George Dewey Clyde,Utah,1963,Republican
Philip Henderson Hoff,Vermont,1963,Democrat
Ralph M. Paiewonsky,Virgin Islands,1963,Democrat
Albertis S. Harrison,Virginia,1963,Democrat
Albert Dean Rosellini,Washington,1963,Democrat
William W. Barron,West Virginia,1963,Democrat
John W. Reynolds,Wisconsin,1963,Democrat
Clifford P. Hansen,Wyoming,1963,Republican
John Malcolm Patterson,Alabama,1962,Democrat
William Allen Egan,Alaska,1962,Democrat
Paul Jones Fannin,Arizona,1962,Republican
Orval Eugene Faubus,Arkansas,1962,Democrat
Edmund Gerald Brown,California,1962,Democrat
Stephen Lucid Robert McNichols,Colorado,1962,Democrat
John Dempsey,Connecticut,1962,Democrat
Elbert Nortrand Carvel,Delaware,1962,Democrat
Cecil Farris Bryant,Florida,1962,Democrat
Samuel Ernest Vandiver,Georgia,1962,Democrat
John Anthony Burns,Hawaii,1962,Democrat
Robert E. Smylie,Idaho,1962,Republican
Otto Kerner,Illinois,1962,Democrat
Matthew Empson Welsh,Indiana,1962,Democrat
Norman Arthur Erbe,Iowa,1962,Republican
John Anderson,Kansas,1962,Republican
Bert Thomas Combs,Kentucky,1962,Democrat
James Houston Davis,Louisiana,1962,Democrat
John Hathaway Reed,Maine,1962,Republican
J. Millard Tawes,Maryland,1962,Democrat
John Anthony Volpe,Massachusetts,1962,Republican
John Burley Swainson,Michigan,1962,Democrat
Elmer Lee Anderson,Minnesota,1962,Republican
Ross Robert Barnett,Mississippi,1962,Democrat
John Montgomery Dalton,Missouri,1962,Democrat
Tim M. Babcock,Montana,1962,Republican
Frank Brenner Morrison,Nebraska,1962,Democrat
Grant Sawyer,Nevada,1962,Democrat
Wesley Powell,New Hampshire,1962,Republican
Richard Joseph Hughes,New Jersey,1962,Democrat
Thomas Felix Bolack,New Mexico,1962,Republican
Nelson Aldrich Rockefeller,New York,1962,Republican
James Terry Sanford,North Carolina,1962,Democrat
William Lewis Guy,North Dakota,1962,Democrat
Michael Vincent DiSalle,Ohio,1962,Democrat
James Howard Edmondson,Oklahoma,1962,Democrat
Mark Odom Hatfield,Oregon,1962,Republican
David Leo Lawrence,Pennsylvania,1962,Democrat
John A. Notte,Rhode Island,1962,Democrat
Ernest Frederick Hollings,South Carolina,1962,Democrat
Archie Gubbrud,South Dakota,1962,Republican
Earl Buford Ellington,Tennessee,1962,Democrat
Price Daniel,Texas,1962,Democrat
George Dewey Clyde,Utah,1962,Republican
F. Ray Keyser,Vermont,1962,Republican
Ralph M. Paiewonsky,Virgin Islands,1962,Democrat
Albertis S. Harrison,Virginia,1962,Democrat
Albert Dean Rosellini,Washington,1962,Democrat
William W. Barron,West Virginia,1962,Democrat
Gaylord Anton Nelson,Wisconsin,1962,Democrat
Jack Robert Gage,Wyoming,1962,Democrat
John Malcolm Patterson,Alabama,1961,Democrat
William Allen Egan,Alaska,1961,Democrat
Paul Jones Fannin,Arizona,1961,Republican
Orval Eugene Faubus,Arkansas,1961,Democrat
Edmund Gerald Brown,California,1961,Democrat
Stephen Lucid Robert McNichols,Colorado,1961,Democrat
John Dempsey,Connecticut,1961,Democrat
Elbert Nortrand Carvel,Delaware,1961,Democrat
Cecil Farris Bryant,Florida,1961,Democrat
Samuel Ernest Vandiver,Georgia,1961,Democrat
William Francis Quinn,Hawaii,1961,Republican
Robert E. Smylie,Idaho,1961,Republican
Otto Kerner,Illinois,1961,Democrat
Matthew Empson Welsh,Indiana,1961,Democrat
Norman Arthur Erbe,Iowa,1961,Republican
John Anderson,Kansas,1961,Republican
Bert Thomas Combs,Kentucky,1961,Democrat
James Houston Davis,Louisiana,1961,Democrat
John Hathaway Reed,Maine,1961,Republican
J. Millard Tawes,Maryland,1961,Democrat
John Anthony Volpe,Massachusetts,1961,Republican
John Burley Swainson,Michigan,1961,Democrat
Elmer Lee Anderson,Minnesota,1961,Republican
Ross Robert Barnett,Mississippi,1961,Democrat
John Montgomery Dalton,Missouri,1961,Democrat
Donald Grant Nutter,Montana,1961,Republican
Frank Brenner Morrison,Nebraska,1961,Democrat
Grant Sawyer,Nevada,1961,Democrat
Wesley Powell,New Hampshire,1961,Republican
Robert Baumie Meyner,New Jersey,1961,Democrat
Edwin Leard Mechem,New Mexico,1961,Republican
